studyName,cv1_accuracy
ARS-NRPN-2004-CASSELTON,0.9995261118709343
ARS-NRPN-2004-DAKOTA_LAKES,0.998793956380196
ARS-NRPN-2004-HETTINGER,0.9995261118709343
ARS-NRPN-2004-LETHBRIDGE,0.998793956380196
ARS-NRPN-2004-LINCOLN,0.9996662522758061
ARS-NRPN-2004-MOCCASIN,0.9996662522758061
ARS-NRPN-2004-NORTH_PLATTE,0.998793956380196
ARS-NRPN-2004-SALINA,0.9995261118709343
ARS-NRPN-2004-SIDNEY,0.998793956380196
ARS-NRPN-2004-WILLISTON,0.9992058315832989
ARS-NRPN-2004-WINNER,0.9995261118709343
ARS-NRPN-2008-ALLIANCE,1.0
ARS-NRPN-2008-ARCHER,0.9999999999999999
ARS-NRPN-2008-BROOKINGS,0.9999999999999999
ARS-NRPN-2008-DAKOTA_LAKES,1.0
ARS-NRPN-2008-GOODLAND,1.0
ARS-NRPN-2008-HETTINGER,1.0
ARS-NRPN-2008-LETHBRIDGE,1.0
ARS-NRPN-2008-LINCOLN,0.9999999999999999
ARS-NRPN-2008-MOCCASIN,1.0
ARS-NRPN-2008-NORTH_PLATTE,1.0
ARS-NRPN-2008-PALMER,1.0
ARS-NRPN-2008-PROSPER,0.9999999999999999
ARS-NRPN-2008-ROSEMOUNT,1.0
ARS-NRPN-2008-SIDNEY,1.0
ARS-NRPN-2008-WINNER,0.9999999999999999
ARS-NRPN-2009-ALLIANCE,-1.0
ARS-NRPN-2009-ARCHER,-1.0
ARS-NRPN-2009-BOZEMAN,-1.0
ARS-NRPN-2009-BROOKINGS,-1.0
ARS-NRPN-2009-GOODLAND,-1.0
ARS-NRPN-2009-LINCOLN,-1.0
ARS-NRPN-2009-MOCCASIN,-1.0
ARS-NRPN-2009-NORTH_PLATTE,-1.0
ARS-NRPN-2009-PALMER,-1.0
ARS-NRPN-2009-SIDNEY,-1.0
ARS-NRPN-2009-WILLISTON,-1.0
ARS-NRPN-2009-WINNER,-1.0
ARS-NRPN-2010-ALLIANCE,0.9237294081444285
ARS-NRPN-2010-ARCHER,0.9237294081444285
ARS-NRPN-2010-BROOKINGS,0.8773165368690048
ARS-NRPN-2010-DAKOTA_LAKES,0.8773165368690048
ARS-NRPN-2010-GOODLAND,0.9237294081444285
ARS-NRPN-2010-HETTINGER,0.7378708069672039
ARS-NRPN-2010-LINCOLN,0.6941024115975162
