ARS-NRPN_WOLF_POINT_MT,48.0900,-105.6400,town,WOLF_POINT
ARS-NRPN_ZAP_ND,47.2897,-101.9277,town,ZAP
ARS-SRPN_ABILENE,32.4487,-99.7331,town,ABILENE
ARS-SRPN_ALTUS,34.6381,-99.3340,town,ALTUS
ARS-SRPN_AMARILLO,35.2210,-101.8313,town,AMARILLO
ARS-SRPN_BUSHLAND,35.1667,-102.0833,exact,BUSHLAND
ARS-SRPN_CHILLICOTHE,34.1343,-99.5145,town,CHILLICOTHE
ARS-SRPN_CLAY_CENTER,39.3792,-97.1278,town,CLAY_CENTER
ARS-SRPN_COLLEGE_STATION,30.6279,-96.3344,town,COLLEGE_STATION
ARS-SRPN_DUMAS,35.8656,-101.9738,town,DUMAS
ARS-SRPN_EL_RENO,35.5323,-97.9550,town,EL_RENO
ARS-SRPN_GARDEN_CITY,37.9717,-100.8727,town,GARDEN_CITY
ARS-SRPN_GOODWELL,36.5950,-101.6360,town,GOODWELL
ARS-SRPN_HAYS,39.0217,-99.8833,town,HAYS
ARS-SRPN_LAWTON,34.6036,-98.3959,town,LAWTON
ARS-SRPN_LUBBOCK,33.5779,-101.8552,town,LUBBOCK
ARS-SRPN_MANHATTAN,39.1836,-96.5717,town,MANHATTAN
ARS-SRPN_MCPHERSON,38.3708,-97.6642,town,MCPHERSON
ARS-SRPN_MEADE,37.2850,-100.3404,town,MEADE
ARS-SRPN_MORROW,33.5860,-91.9900,town,MORROW
ARS-SRPN_PLAINVIEW,34.1848,-101.7068,town,PLAINVIEW
ARS-SRPN_QUANAH,34.2970,-99.7404,town,QUANAH
ARS-SRPN_ROSCOE,32.4465,-100.5393,town,ROSCOE
ARS-SRPN_SHATTUCK,36.2750,-99.8760,town,SHATTUCK
ARS-SRPN_STILLWATER,36.1156,-97.0584,town,STILLWATER
ARS-SRPN_TIPTON,34.5001,-99.1406,town,TIPTON
ARS-SRPN_TULETA,28.6589,-97.8133,town,TULETA
ARS-SRPN_WOODWARD,36.4334,-99.3904,town,WOODWARD
ARS-SRPN_ABERNATHY,33.8323,-101.8429,town,ABERNATHY
ARS-SRPN_ANSON,32.7551,-99.8968,town,ANSON
ARS-SRPN_ARCHER_CITY,33.5959,-98.6253,town,ARCHER_CITY
ARS-SRPN_BALKO,36.5681,-100.4768,town,BALKO
ARS-SRPN_BENJAMIN,33.5834,-99.7920,town,BENJAMIN
ARS-SRPN_BIG_SPRING,32.2504,-101.4787,town,BIG_SPRING
ARS-SRPN_BOWIE,33.5590,-97.8486,town,BOWIE
ARS-SRPN_BRIDGEPORT,33.2107,-97.7542,town,BRIDGEPORT
ARS-SRPN_BROWNFIELD,33.1812,-102.2744,town,BROWNFIELD
ARS-SRPN_CANADIAN,35.9120,-100.3821,town,CANADIAN
ARS-SRPN_CANYON,34.9803,-101.9188,town,CANYON
ARS-SRPN_CLAUDE,35.1112,-101.3638,town,CLAUDE
ARS-SRPN_CROWELL,33.9834,-99.7240,town,CROWELL
ARS-SRPN_DALHART,36.0595,-102.5138,town,DALHART
ARS-SRPN_DIMMITT,34.5501,-102.3110,town,DIMMITT
ARS-SRPN_DUMAS_TX,35.8656,-101.9738,town,DUMAS
ARS-SRPN_EARTH,34.2334,-102.4102,town,EARTH
ARS-SRPN_EDMOND,35.6528,-97.4781,town,EDMOND
ARS-SRPN_ELK_CITY,35.4112,-99.4045,town,ELK_CITY
ARS-SRPN_FLOYDADA,33.9840,-101.3379,town,FLOYDADA
ARS-SRPN_FREDERICK,34.3926,-99.0181,town,FREDERICK
ARS-SRPN_GRAHAM,33.1073,-98.5895,town,GRAHAM
ARS-SRPN_GRUVER,36.2667,-101.4054,town,GRUVER
ARS-SRPN_HAMLIN,32.8840,-100.1262,town,HAMLIN
ARS-SRPN_HASKELL,33.1573,-99.7331,town,HASKELL
ARS-SRPN_HEREFORD,34.8151,-102.3977,town,HEREFORD
ARS-SRPN_HOLLIS,34.6892,-99.9129,town,HOLLIS
ARS-SRPN_JAYTON,33.2490,-100.5737,town,JAYTON
ARS-SRPN_KNOX_CITY,33.4212,-99.8184,town,KNOX_CITY
ARS-SRPN_LAMESA,32.7376,-101.9504,town,LAMESA
ARS-SRPN_LEVELLAND,33.5873,-102.3777,town,LEVELLAND
ARS-SRPN_LITTLEFIELD,33.9173,-102.3244,town,LITTLEFIELD
ARS-SRPN_LOCKNEY,34.1240,-101.4410,town,LOCKNEY
ARS-SRPN_MATADOR,34.0123,-100.8221,town,MATADOR
ARS-SRPN_MERKEL,32.4701,-100.0129,town,MERKEL
ARS-SRPN_MORTON,33.7251,-102.7599,town,MORTON
ARS-SRPN_MULESHOE,34.2262,-102.7230,town,MULESHOE
ARS-SRPN_ODONNELL,32.9634,-101.8268,town,ODONNELL
ARS-SRPN_OLTON,34.1834,-102.1330,town,OLTON
ARS-SRPN_PADUCAH,34.0123,-100.3029,town,PADUCAH
ARS-SRPN_PAMPA,35.5362,-100.9599,town,PAMPA
ARS-SRPN_PERRYTON,36.4000,-100.8021,town,PERRYTON
ARS-SRPN_PLAINVIEW_TX,34.1848,-101.7068,town,PLAINVIEW
ARS-SRPN_POST,33.1901,-101.3787,town,POST
ARS-SRPN_QUITAQUE,34.3667,-101.0490,town,QUITAQUE
ARS-SRPN_RALLS,33.6751,-101.3854,town,RALLS
ARS-SRPN_RALLS_TX,33.6751,-101.3854,town,RALLS
ARS-SRPN_RALLS_2,33.6751,-101.3854,town,RALLS
ARS-SRPN_ROARING_SPRINGS,33.9073,-100.8504,town,ROARING_SPRINGS
ARS-SRPN_ROBERT_LEE,31.8929,-100.4843,town,ROBERT_LEE
ARS-SRPN_ROSCOE_TX,32.4465,-100.5393,town,ROSCOE
ARS-SRPN_SAMNORWOOD,34.9401,-100.8137,town,SAMNORWOOD
ARS-SRPN_SEMINOLE,32.7187,-102.6449,town,SEMINOLE
ARS-SRPN_SEYMOUR,33.5940,-99.2606,town,SEYMOUR
ARS-SRPN_SILVERTON,34.4723,-101.3043,town,SILVERTON
ARS-SRPN_SLAUGHTER,33.5834,-102.0833,town,SLAUGHTER
ARS-SRPN_SNYDER,32.7179,-100.9176,town,SNYDER
ARS-SRPN_SPEARMAN,36.1989,-101.1921,town,SPEARMAN
ARS-SRPN_SPUR,33.4762,-100.8579,town,SPUR
ARS-SRPN_STRATFORD,36.3334,-102.0724,town,STRATFORD
ARS-SRPN_SWEETWATER,32.4709,-100.4059,town,SWEETWATER
ARS-SRPN_TULIA,34.5351,-101.7588,town,TULIA
ARS-SRPN_TURKEY,34.3923,-100.8979,town,TURKEY
ARS-SRPN_VERNON,34.1540,-99.2654,town,VERNON
ARS-SRPN_WEATHERFORD,35.5262,-97.7431,town,WEATHERFORD
ARS-SRPN_WELLINGTON,34.8562,-100.2137,town,WELLINGTON
ARS-SRPN_WHEELER,35.4453,-100.2707,town,WHEELER
ARS-SRPN_WHITNEY,31.9510,-97.3214,town,WHITNEY
ARS-SRPN_WICHITA_FALLS,33.9137,-98.4934,town,WICHITA_FALLS
